,Piłkarz,Wiek,Narodowość,Pozycja,Poz,Wartość rynkowa,Klub pozyskujący/oddający państwo,Klub pozyskujący/oddający nazwa,Kwota odstępnego,Rodzaj transferu,Dotyczy klubu,Sezon
0,Kristopher VidaK. Vida,24,Węgry,Prawy napastnik,PNP,700 tys. €,Słowacja,Dunajska Streda,700 tys. €,Kupno,Piast Gliwice,2019/2020
1,Sebastian MilewskiS. Milewski,21,Polska,Środkowy pomocnik,ŚPM,150 tys. €,Polska,Z. Sosnowiec,100 tys. €,Kupno,Piast Gliwice,2019/2020
2,Tomas HukTomas Huk,24,Słowacja,Środkowy obrońca,ŚOB,600 tys. €,Słowacja,Dunajska Streda,100 tys. €,Kupno,Piast Gliwice,2019/2020
3,Patryk TuszynskiP. Tuszynski,29,Polska,Środkowy napastnik,ŚNP,500 tys. €,Polska,Zagłębie Lubin,100 tys. €,Kupno,Piast Gliwice,2019/2020
4,Tomasz JodlowiecT. Jodlowiec,33,Polska,Defensywny pomocnik,DPM,300 tys. €,Polska,Legia Warszawa,80 tys. €,Kupno,Piast Gliwice,2019/2020
5,Tiago AlvesTiago Alves,23,Portugalia,Prawy napastnik,PNP,100 tys. €,Polska,Olimpia Grudz.,57 tys. €,Kupno,Piast Gliwice,2019/2020
6,Jakub HolubekJ. Holubek,28,Słowacja,Lewy obrońca,LOB,350 tys. €,Słowacja,MSK Zilina,Bez odstępnego,Kupno,Piast Gliwice,2019/2020
7,Bartosz RymaniakB. Rymaniak,29,Polska,Prawy obrońca,POB,500 tys. €,Polska,Korona Kielce,Bez odstępnego,Kupno,Piast Gliwice,2019/2020
8,Patryk KrolczykP. Krolczyk,25,Polska,Bramkarz,BRK,50 tys. €,Polska,Warta Gorzów,Bez odstępnego,Kupno,Piast Gliwice,2019/2020
9,Piotr MalarczykP. Malarczyk,28,Polska,Środkowy obrońca,ŚOB,250 tys. €,Polska,Korona Kielce,Bez odstępnego,Kupno,Piast Gliwice,2019/2020
10,Dani AquinoD. Aquino,28,Hiszpania,Środkowy napastnik,ŚNP,400 tys. €,Hiszpania,Real Murcia,30 tys. €,Kupno,Piast Gliwice,2019/2020
11,Patryk DziczekP. Dziczek,21,Polska,Defensywny pomocnik,DPM,"2,00 mln €",Włochy,Lazio Rzym,"2,15 mln €",Sprzedaż,Piast Gliwice,2019/2020
12,Joel ValenciaJ. Valencia,24,Ekwador,Ofensywny pomocnik,OPM,"1,50 mln €",Anglia,Brentford,"2,00 mln €",Sprzedaż,Piast Gliwice,2019/2020
13,Dani AquinoD. Aquino,29,Hiszpania,Środkowy napastnik,ŚNP,200 tys. €,Hiszpania,CD Badajoz,Bez odstępnego,Sprzedaż,Piast Gliwice,2019/2020
14,Aleksandar SedlarA. Sedlar,27,Serbia,Środkowy obrońca,ŚOB,900 tys. €,Hiszpania,RCD Mallorca,Bez odstępnego,Sprzedaż,Piast Gliwice,2019/2020
15,Michal PapadopulosM. Papadopulos,34,Czechy,Środkowy napastnik,ŚNP,150 tys. €,Polska,Korona Kielce,Bez odstępnego,Sprzedaż,Piast Gliwice,2019/2020
16,Marcin PietrowskiM. Pietrowski,31,Polska,Prawy obrońca,POB,150 tys. €,Polska,Miedź Legnica,Bez odstępnego,Sprzedaż,Piast Gliwice,2019/2020
17,Mateusz MakM. Mak,27,Polska,Prawy napastnik,PNP,250 tys. €,Polska,Stal Mielec,Bez odstępnego,Sprzedaż,Piast Gliwice,2019/2020
18,Damian ByrtekD. Byrtek,28,Polska,Środkowy obrońca,ŚOB,200 tys. €,Polska,Miedź Legnica,25 tys. €,Sprzedaż,Piast Gliwice,2019/2020
19,Aleksander SopelA. Sopel,21,Polska,Środkowy pomocnik,ŚPM,-,-,Bez klubu,-,Sprzedaż,Piast Gliwice,2019/2020
