,Piłkarz,Wiek,Narodowość,Pozycja,Poz,Wartość rynkowa,Klub pozyskujący/oddający państwo,Klub pozyskujący/oddający nazwa,Kwota odstępnego,Rodzaj transferu,Dotyczy klubu,Sezon
0,Lukas JägerL. Jäger,25,Austria,Defensywny pomocnik,DPM,500 tys. €,Niemcy,Nürnberg,125 tys. €,Kupno,SK Sturm Graz,2019/2020
1,Bekim BalajB. Balaj,28,Albania,Środkowy napastnik,ŚNP,"1,30 mln €",Rosja,Akhmat Grozny,Bez odstępnego,Kupno,SK Sturm Graz,2019/2020
2,Isaac DonkorI. Donkor,24,Ghana,Środkowy obrońca,ŚOB,800 tys. €,Rumunia,CS U Craiova,Bez odstępnego,Kupno,SK Sturm Graz,2019/2020
3,Christoph LeitgebC. Leitgeb,34,Austria,Środkowy pomocnik,ŚPM,400 tys. €,Austria,RB Salzburg,Bez odstępnego,Kupno,SK Sturm Graz,2019/2020
4,Kevin FriesenbichlerK. Friesenbichler,25,Austria,Środkowy napastnik,ŚNP,500 tys. €,Niemcy,VfL Osnabrück,Bez odstępnego,Kupno,SK Sturm Graz,2019/2020
5,Emanuel SakicE. Sakic,28,Austria,Prawy obrońca,POB,700 tys. €,Grecja,Atromitos Ateny,Bez odstępnego,Kupno,SK Sturm Graz,2019/2020
6,Amadou DanteA. Dante,18,Mali,Lewy pomocnik,LPM,-,Mali,Yeelen,?,Kupno,SK Sturm Graz,2019/2020
7,Dario MaresicD. Maresic,19,Austria,Środkowy obrońca,ŚOB,"3,00 mln €",Francja,Reims,"3,00 mln €",Sprzedaż,SK Sturm Graz,2019/2020
8,Lukas SkrivanekL. Skrivanek,22,Austria,Środkowy pomocnik,ŚPM,250 tys. €,Austria,SV Kapfenberg,Bez odstępnego,Sprzedaż,SK Sturm Graz,2019/2020
9,Filipe FerreiraF. Ferreira,28,Portugalia,Lewy obrońca,LOB,350 tys. €,Portugalia,Tondela,Bez odstępnego,Sprzedaż,SK Sturm Graz,2019/2020
10,Philipp HosinerP. Hosiner,30,Austria,Środkowy napastnik,ŚNP,250 tys. €,Niemcy,Chemnitzer FC,Bez odstępnego,Sprzedaż,SK Sturm Graz,2019/2020
11,Fabian EhmannF. Ehmann,20,Austria,Bramkarz,BRK,250 tys. €,Grecja,Aris Saloniki,Bez odstępnego,Sprzedaż,SK Sturm Graz,2019/2020
12,Sandi LovricS. Lovric,21,Austria,Defensywny pomocnik,DPM,"1,00 mln €",Szwajcaria,FC Lugano,Bez odstępnego,Sprzedaż,SK Sturm Graz,2019/2020
13,Raphael ObermairR. Obermair,23,Niemcy,Prawy obrońca,POB,100 tys. €,Niemcy,Carl Zeiss Jena,Bez odstępnego,Sprzedaż,SK Sturm Graz,2019/2020
