,Piłkarz,Wiek,Narodowość,Pozycja,Poz,Wartość rynkowa,Klub pozyskujący/oddający państwo,Klub pozyskujący/oddający nazwa,Kwota odstępnego,Rodzaj transferu,Dotyczy klubu,Sezon
0,Nicolae StanciuN. Stanciu,26,Rumunia,Ofensywny pomocnik,OPM,"3,50 mln €",Arabia Saudyjska,Ahli,"4,00 mln €",Kupno,SK Slavia Praga,2019/2020
1,Tomas HolesT. Holes,26,Czechy,Prawy obrońca,POB,"1,00 mln €",Czechy,FK Jablonec,"1,60 mln €",Kupno,SK Slavia Praga,2019/2020
2,David HovorkaD. Hovorka,25,Czechy,Środkowy obrońca,ŚOB,"1,25 mln €",Czechy,FK Jablonec,"1,20 mln €",Kupno,SK Slavia Praga,2019/2020
3,Oscar DorleyOscar Dorley,21,Liberia,Środkowy pomocnik,ŚPM,"1,00 mln €",Czechy,Slovan Liberec,"1,00 mln €",Kupno,SK Slavia Praga,2019/2020
4,Laco TakacsL. Takacs,23,Czechy,Defensywny pomocnik,DPM,800 tys. €,Czechy,Mladá Boleslav,"1,00 mln €",Kupno,SK Slavia Praga,2019/2020
5,Patrik HellebrandP. Hellebrand,20,Czechy,Ofensywny pomocnik,OPM,250 tys. €,Czechy,Slovácko,915 tys. €,Kupno,SK Slavia Praga,2019/2020
6,Lukas ProvodL. Provod,23,Czechy,Lewy napastnik,LNP,700 tys. €,Czechy,Vik. Plzen B,770 tys. €,Kupno,SK Slavia Praga,2019/2020
7,João FelipeJoão Felipe,18,Brazylia,Lewy napastnik,LNP,-,Brazylia,Ituano FC U20,500 tys. €,Kupno,SK Slavia Praga,2019/2020
8,Alex KralAlex Kral,21,Czechy,Defensywny pomocnik,DPM,"3,50 mln €",Rosja,Spartak Moskwa,"12,00 mln €",Sprzedaż,SK Slavia Praga,2019/2020
9,Michael Ngadeu NgadjuiM. Ngadeu Ngadjui,28,Kamerun,Środkowy obrońca,ŚOB,"4,50 mln €",Belgia,KAA Gent,"4,50 mln €",Sprzedaż,SK Slavia Praga,2019/2020
10,Jaromir ZmrhalJ. Zmrhal,26,Czechy,Lewy pomocnik,LPM,"3,25 mln €",Włochy,Brescia,"3,75 mln €",Sprzedaż,SK Slavia Praga,2019/2020
11,Simon DeliS. Deli,27,Wybrzeże Kości Słoniowej,Środkowy obrońca,ŚOB,"4,50 mln €",Belgia,FC Brügge,"2,50 mln €",Sprzedaż,SK Slavia Praga,2019/2020
12,Miroslav StochM. Stoch,29,Słowacja,Lewy napastnik,LNP,"4,50 mln €",Grecja,PAOK Saloniki,"1,50 mln €",Sprzedaż,SK Slavia Praga,2019/2020
13,Milan SkodaM. Skoda,33,Czechy,Środkowy napastnik,ŚNP,"1,00 mln €",Turcja,C. Rizespor,Bez odstępnego,Sprzedaż,SK Slavia Praga,2019/2020
14,Ruslan MingazovR. Mingazov,27,Turkmenistan,Prawy napastnik,PNP,650 tys. €,Kazachstan,Irtysz Pawłodar,Bez odstępnego,Sprzedaż,SK Slavia Praga,2019/2020
15,Olivier KingueO. Kingue,23,Kamerun,Środkowy obrońca,ŚOB,250 tys. €,Czechy,1.FK Příbram,Bez odstępnego,Sprzedaż,SK Slavia Praga,2019/2020
16,Matej ChalusM. Chalus,21,Czechy,Środkowy obrońca,ŚOB,500 tys. €,Czechy,Slovan Liberec,?,Sprzedaż,SK Slavia Praga,2019/2020
17,Michal TravnikM. Travnik,25,Czechy,Środkowy pomocnik,ŚPM,"3,00 mln €",Czechy,FK Jablonec,"1,80 mln €",Kupno,AC Sparta Praga,2019/2020
18,Andreas VindheimA. Vindheim,23,Norwegia,Prawy obrońca,POB,"1,00 mln €",Szwecja,Malmö FF,"1,30 mln €",Kupno,AC Sparta Praga,2019/2020
19,Ladislav KrejciL. Krejci,20,Czechy,Defensywny pomocnik,DPM,300 tys. €,Czechy,Zbrojovka Brno,310 tys. €,Kupno,AC Sparta Praga,2019/2020
20,Libor KozakL. Kozak,30,Czechy,Środkowy napastnik,ŚNP,750 tys. €,Czechy,Slovan Liberec,Bez odstępnego,Kupno,AC Sparta Praga,2019/2020
21,Filip SoucekF. Soucek,19,Czechy,Środkowy pomocnik,ŚPM,200 tys. €,Czechy,SFC Opava,?,Kupno,AC Sparta Praga,2019/2020
22,Matej PolidarM. Polidar,19,Czechy,Cofnięty napastnik,CNP,150 tys. €,Czechy,1.FK Příbram,?,Kupno,AC Sparta Praga,2019/2020
23,David LischkaD. Lischka,21,Czechy,Środkowy obrońca,ŚOB,800 tys. €,Czechy,FK Jablonec,?,Kupno,AC Sparta Praga,2019/2020
24,Eldar CivicE. Civic,23,Bośnia i Hercegowina,Lewy obrońca,LOB,"1,00 mln €",Węgry,Ferencváros,"1,00 mln €",Sprzedaż,AC Sparta Praga,2019/2020
25,Bogdan VatajeluB. Vatajelu,26,Rumunia,Lewy obrońca,LOB,900 tys. €,Rumunia,CS U Craiova,350 tys. €,Sprzedaż,AC Sparta Praga,2019/2020
26,Gol-Gol MebrahtuG. Mebrahtu,28,Australia,Środkowy napastnik,ŚNP,300 tys. €,Węgry,Puskás AFC,Bez odstępnego,Sprzedaż,AC Sparta Praga,2019/2020
27,Vaclav KadlecV. Kadlec,27,Czechy,Środkowy napastnik,ŚNP,300 tys. €,-,Koniec kariery,-,Sprzedaż,AC Sparta Praga,2019/2020
28,Martin HasekM. Hasek,24,Czechy,Środkowy pomocnik,ŚPM,"1,80 mln €",-,Bez klubu,-,Sprzedaż,AC Sparta Praga,2019/2020
29,Lukas KalvachL. Kalvach,23,Czechy,Defensywny pomocnik,DPM,900 tys. €,Czechy,Sigma Ołomuniec,600 tys. €,Kupno,FC Viktoria Pilzno,2019/2020
