,Piłkarz,Wiek,Narodowość,Pozycja,Poz,Wartość rynkowa,Klub pozyskujący/oddający państwo,Klub pozyskujący/oddający nazwa,Kwota odstępnego,Rodzaj transferu,Dotyczy klubu,Sezon
0,Lucas HernándezL. Hernández,23,Francja,Środkowy obrońca,ŚOB,"70,00 mln €",Hiszpania,Atlético Madryt,"80,00 mln €",Kupno,Bayern Monachium,2019/2020
1,Benjamin PavardB. Pavard,23,Francja,Prawy obrońca,POB,"30,00 mln €",Niemcy,Stuttgart,"35,00 mln €",Kupno,Bayern Monachium,2019/2020
2,Michaël CuisanceM. Cuisance,20,Francja,Środkowy pomocnik,ŚPM,"5,00 mln €",Niemcy,M´gladbach,"12,00 mln €",Kupno,Bayern Monachium,2019/2020
3,Fiete ArpFiete Arp,19,Niemcy,Środkowy napastnik,ŚNP,"4,00 mln €",Niemcy,Hamburg,"3,00 mln €",Kupno,Bayern Monachium,2019/2020
4,Mats HummelsM. Hummels,30,Niemcy,Środkowy obrońca,ŚOB,"35,00 mln €",Niemcy,Bor. Dortmund,"30,50 mln €",Sprzedaż,Bayern Monachium,2019/2020
5,Renato SanchesR. Sanches,22,Portugalia,Środkowy pomocnik,ŚPM,"18,00 mln €",Francja,LOSC Lille,"20,00 mln €",Sprzedaż,Bayern Monachium,2019/2020
6,Marco FriedlM. Friedl,21,Austria,Środkowy obrońca,ŚOB,"2,50 mln €",Niemcy,Werder Bremen,"3,50 mln €",Sprzedaż,Bayern Monachium,2019/2020
7,RafinhaRafinha,33,Brazylia,Prawy obrońca,POB,"3,00 mln €",Brazylia,Flamengo,Bez odstępnego,Sprzedaż,Bayern Monachium,2019/2020
8,Franck RibéryF. Ribéry,36,Francja,Lewy napastnik,LNP,"4,00 mln €",Włochy,AC Fiorentina,Bez odstępnego,Sprzedaż,Bayern Monachium,2019/2020
9,Arjen RobbenA. Robben,35,Holandia,Prawy napastnik,PNP,"4,00 mln €",-,Koniec kariery,-,Sprzedaż,Bayern Monachium,2019/2020
10,Mats HummelsM. Hummels,30,Niemcy,Środkowy obrońca,ŚOB,"35,00 mln €",Niemcy,Bayern,"30,50 mln €",Kupno,Borussia Dortmund,2019/2020
11,Thorgan HazardT. Hazard,26,Belgia,Lewy napastnik,LNP,"38,00 mln €",Niemcy,M´gladbach,"25,50 mln €",Kupno,Borussia Dortmund,2019/2020
12,Nico SchulzN. Schulz,26,Niemcy,Lewy obrońca,LOB,"25,00 mln €",Niemcy,Hoffenheim,"25,50 mln €",Kupno,Borussia Dortmund,2019/2020
13,Julian BrandtJ. Brandt,23,Niemcy,Środkowy pomocnik,ŚPM,"50,00 mln €",Niemcy,Bay. Leverkusen,"25,00 mln €",Kupno,Borussia Dortmund,2019/2020
14,Paco AlcácerP. Alcácer,25,Hiszpania,Środkowy napastnik,ŚNP,"37,00 mln €",Hiszpania,FC Barcelona,"21,00 mln €",Kupno,Borussia Dortmund,2019/2020
15,Erling HaalandE. Haaland,19,Norwegia,Środkowy napastnik,ŚNP,"45,00 mln €",Austria,RB Salzburg,"20,00 mln €",Kupno,Borussia Dortmund,2019/2020
16,Mateu MoreyM. Morey,19,Hiszpania,Prawy obrońca,POB,300 tys. €,Hiszpania,Barça U19,Bez odstępnego,Kupno,Borussia Dortmund,2019/2020
17,Abdou DialloA. Diallo,23,Francja,Środkowy obrońca,ŚOB,"35,00 mln €",Francja,Paris SG,"32,00 mln €",Sprzedaż,Borussia Dortmund,2019/2020
18,Paco AlcácerP. Alcácer,26,Hiszpania,Środkowy napastnik,ŚNP,"42,00 mln €",Hiszpania,Villarreal CF,"23,00 mln €",Sprzedaż,Borussia Dortmund,2019/2020
19,Julian WeiglJ. Weigl,24,Niemcy,Defensywny pomocnik,DPM,"23,00 mln €",Portugalia,Benfica,"20,00 mln €",Sprzedaż,Borussia Dortmund,2019/2020
20,Maximilian PhilippM. Philipp,25,Niemcy,Cofnięty napastnik,CNP,"13,00 mln €",Rosja,Dynamo Moskwa,"20,00 mln €",Sprzedaż,Borussia Dortmund,2019/2020
21,Jacob Bruun LarsenJ. Bruun Larsen,21,Dania,Lewy napastnik,LNP,"12,00 mln €",Niemcy,Hoffenheim,"9,00 mln €",Sprzedaż,Borussia Dortmund,2019/2020
22,Alexander IsakA. Isak,19,Szwecja,Środkowy napastnik,ŚNP,"8,00 mln €",Hiszpania,Real Sociedad,"6,50 mln €",Sprzedaż,Borussia Dortmund,2019/2020
23,Sebastian RodeS. Rode,28,Niemcy,Środkowy pomocnik,ŚPM,"3,00 mln €",Niemcy,E. Frankfurt,"4,00 mln €",Sprzedaż,Borussia Dortmund,2019/2020
24,Shinji KagawaS. Kagawa,30,Japonia,Ofensywny pomocnik,OPM,"6,00 mln €",Hiszpania,Real Zaragoza,"3,00 mln €",Sprzedaż,Borussia Dortmund,2019/2020
25,Dani OlmoDani Olmo,21,Hiszpania,Ofensywny pomocnik,OPM,"35,00 mln €",Chorwacja,Dinamo Zagrzeb,"19,00 mln €",Kupno,RasenBallsport Leipzig,2019/2020
26,Ademola LookmanA. Lookman,21,Anglia,Lewy napastnik,LNP,"20,00 mln €",Anglia,Everton,"18,00 mln €",Kupno,RasenBallsport Leipzig,2019/2020
27,Christopher NkunkuC. Nkunku,21,Francja,Ofensywny pomocnik,OPM,"12,00 mln €",Francja,Paris SG,"13,00 mln €",Kupno,RasenBallsport Leipzig,2019/2020
28,Hannes WolfH. Wolf,20,Austria,Ofensywny pomocnik,OPM,"12,00 mln €",Austria,RB Salzburg,"12,00 mln €",Kupno,RasenBallsport Leipzig,2019/2020
29,Luan CândidoL. Cândido,18,Brazylia,Lewy obrońca,LOB,"4,00 mln €",Brazylia,Palmeiras B,"8,00 mln €",Kupno,RasenBallsport Leipzig,2019/2020
30,Philipp TschaunerP. Tschauner,33,Niemcy,Bramkarz,BRK,400 tys. €,Niemcy,Hannover 96,350 tys. €,Kupno,RasenBallsport Leipzig,2019/2020
31,Matheus CunhaM. Cunha,20,Brazylia,Środkowy napastnik,ŚNP,"13,00 mln €",Niemcy,Hertha BSC,"18,00 mln €",Sprzedaż,RasenBallsport Leipzig,2019/2020
32,BrumaBruma,24,Portugalia,Lewy napastnik,LNP,"10,00 mln €",Holandia,PSV Eindhoven,"15,00 mln €",Sprzedaż,RasenBallsport Leipzig,2019/2020
33,Diego DemmeD. Demme,28,Niemcy,Defensywny pomocnik,DPM,"17,00 mln €",Włochy,SSC Napoli,"12,00 mln €",Sprzedaż,RasenBallsport Leipzig,2019/2020
34,Stefan IlsankerS. Ilsanker,30,Austria,Defensywny pomocnik,DPM,"3,00 mln €",Niemcy,E. Frankfurt,500 tys. €,Sprzedaż,RasenBallsport Leipzig,2019/2020
