,Piłkarz,Wiek,Narodowość,Pozycja,Poz,Wartość rynkowa,Klub pozyskujący/oddający państwo,Klub pozyskujący/oddający nazwa,Kwota odstępnego,Rodzaj transferu,Dotyczy klubu,Sezon
0,Eldar CivicE. Civic,23,Bośnia i Hercegowina,Lewy obrońca,LOB,"1,00 mln €",Czechy,Sparta Praga,"1,00 mln €",Kupno,Ferencvárosi TC,2019/2020
1,Franck BoliF. Boli,25,Wybrzeże Kości Słoniowej,Środkowy napastnik,ŚNP,700 tys. €,Norwegia,Stabæk Fotball,"1,00 mln €",Kupno,Ferencvárosi TC,2019/2020
2,Michal SkvarkaM. Skvarka,26,Słowacja,Środkowy pomocnik,ŚPM,650 tys. €,Słowacja,MSK Zilina,200 tys. €,Kupno,Ferencvárosi TC,2019/2020
3,Dávid GrófD. Gróf,30,Węgry,Bramkarz,BRK,550 tys. €,Węgry,Honvéd,Bez odstępnego,Kupno,Ferencvárosi TC,2019/2020
4,SomáliaSomália,31,Brazylia,Środkowy pomocnik,ŚPM,"2,00 mln €",Arabia Saudyjska,Shabab,Bez odstępnego,Kupno,Ferencvárosi TC,2019/2020
5,Gergő SzécsiG. Szécsi,30,Węgry,Bramkarz,BRK,100 tys. €,Węgry,Balmazújváros,Bez odstępnego,Kupno,Ferencvárosi TC,2019/2020
6,Bálint VécseiB. Vécsei,26,Węgry,Środkowy pomocnik,ŚPM,"1,00 mln €",Szwajcaria,FC Lugano,?,Kupno,Ferencvárosi TC,2019/2020
7,Regő SzánthóR. Szánthó,19,Węgry,Lewy napastnik,LNP,150 tys. €,Węgry,ETO FC Győr,?,Kupno,Ferencvárosi TC,2019/2020
8,Fernando GorriaránF. Gorriarán,24,Urugwaj,Środkowy pomocnik,ŚPM,"1,50 mln €",Meksyk,Santos Laguna,"2,50 mln €",Sprzedaż,Ferencvárosi TC,2019/2020
9,Stefan SpirovskiS. Spirovski,29,Macedonia Północna,Defensywny pomocnik,DPM,750 tys. €,Izrael,Hapoel Tel Aviv,100 tys. €,Sprzedaż,Ferencvárosi TC,2019/2020
10,Marten WilmotsM. Wilmots,20,Belgia,Ofensywny pomocnik,OPM,50 tys. €,Słowenia,NK Triglav,Bez odstępnego,Sprzedaż,Ferencvárosi TC,2019/2020
11,Julian KochJ. Koch,28,Niemcy,Defensywny pomocnik,DPM,200 tys. €,Niemcy,VfL Hörde,Bez odstępnego,Sprzedaż,Ferencvárosi TC,2019/2020
12,Ádám HolczerÁ. Holczer,31,Węgry,Bramkarz,BRK,150 tys. €,Węgry,Paksi FC,Bez odstępnego,Sprzedaż,Ferencvárosi TC,2019/2020
13,Tamás PriskinT. Priskin,33,Węgry,Środkowy napastnik,ŚNP,250 tys. €,Węgry,ETO FC Győr,Bez odstępnego,Sprzedaż,Ferencvárosi TC,2019/2020
14,Dániel BödeD. Böde,32,Węgry,Środkowy napastnik,ŚNP,500 tys. €,Węgry,Paksi FC,Bez odstępnego,Sprzedaż,Ferencvárosi TC,2019/2020
15,István LakatosI. Lakatos,20,Węgry,Lewy napastnik,LNP,100 tys. €,Węgry,FC Ajka,Bez odstępnego,Sprzedaż,Ferencvárosi TC,2019/2020
16,Rui PedroRui Pedro,31,Portugalia,Ofensywny pomocnik,OPM,400 tys. €,Węgry,Diósgyőr,?,Sprzedaż,Ferencvárosi TC,2019/2020
17,Matías RodríguezM. Rodríguez,26,Argentyna,Ofensywny pomocnik,OPM,450 tys. €,Kolumbia,Cúcuta Dep.,?,Sprzedaż,Ferencvárosi TC,2019/2020
18,Norbert KundrákN. Kundrák,20,Węgry,Środkowy napastnik,ŚNP,150 tys. €,Węgry,Debrecen,?,Sprzedaż,Ferencvárosi TC,2019/2020
19,Ivan PetryakI. Petryak,25,Ukraina,Lewy napastnik,LNP,"2,00 mln €",Ukraina,Szachtar D.,"1,20 mln €",Kupno,MOL Fehérvár FC,2019/2020
20,Lyes HouriL. Houri,24,Francja,Środkowy pomocnik,ŚPM,"1,00 mln €",Rumunia,FC Viitorul,600 tys. €,Kupno,MOL Fehérvár FC,2019/2020
21,Dániel ZsóriD. Zsóri,18,Węgry,Środkowy napastnik,ŚNP,250 tys. €,Węgry,Debrecen,400 tys. €,Kupno,MOL Fehérvár FC,2019/2020
22,Adrian RusA. Rus,23,Rumunia,Środkowy obrońca,ŚOB,800 tys. €,Węgry,Puskás AFC,400 tys. €,Kupno,MOL Fehérvár FC,2019/2020
23,Visar MusliuV. Musliu,24,Macedonia Północna,Środkowy obrońca,ŚOB,"1,00 mln €",Macedonia Północna,Shkendija,400 tys. €,Kupno,MOL Fehérvár FC,2019/2020
24,Dániel KovácsD. Kovács,25,Węgry,Bramkarz,BRK,100 tys. €,Węgry,Soroksár,Bez odstępnego,Kupno,MOL Fehérvár FC,2019/2020
25,Nemanja NikolicsN. Nikolics,32,Węgry,Środkowy napastnik,ŚNP,"3,00 mln €",Stany Zjednaczone,Chicago Fire,Bez odstępnego,Kupno,MOL Fehérvár FC,2019/2020
26,Patrik NyáriP. Nyári,18,Węgry,Środkowy pomocnik,ŚPM,75 tys. €,Węgry,Haladás,?,Kupno,MOL Fehérvár FC,2019/2020
27,Funsho BamgboyeF. Bamgboye,20,Nigeria,Prawy napastnik,PNP,100 tys. €,Węgry,Haladás,?,Kupno,MOL Fehérvár FC,2019/2020
28,Bence Gundel-TakácsB. Gundel-Takács,21,Węgry,Bramkarz,BRK,150 tys. €,Węgry,Újpest FC,?,Kupno,MOL Fehérvár FC,2019/2020
29,Marko ScepovicM. Scepovic,28,Serbia,Środkowy napastnik,ŚNP,800 tys. €,Turcja,C. Rizespor,800 tys. €,Sprzedaż,MOL Fehérvár FC,2019/2020
30,András HársfalviA. Hársfalvi,22,Węgry,Bramkarz,BRK,75 tys. €,Węgry,Gyirmót FC,Bez odstępnego,Sprzedaż,MOL Fehérvár FC,2019/2020
31,Bence SósB. Sós,25,Węgry,Lewy napastnik,LNP,250 tys. €,Węgry,Puskás AFC,Bez odstępnego,Sprzedaż,MOL Fehérvár FC,2019/2020
32,Patrik RétiP. Réti,20,Węgry,Defensywny pomocnik,DPM,100 tys. €,Węgry,BFC Siófok,Bez odstępnego,Sprzedaż,MOL Fehérvár FC,2019/2020
33,Elvir HadzicE. Hadzic,20,Austria,Cofnięty napastnik,CNP,100 tys. €,Austria,FC Dornbirn,Bez odstępnego,Sprzedaż,MOL Fehérvár FC,2019/2020
34,Joan CampinsJ. Campins,24,Hiszpania,Prawy obrońca,POB,150 tys. €,Belgia,Mouscron,Bez odstępnego,Sprzedaż,MOL Fehérvár FC,2019/2020
35,Zsombor BévárdiZ. Bévárdi,20,Węgry,Prawy napastnik,PNP,150 tys. €,Węgry,Debrecen,Bez odstępnego,Sprzedaż,MOL Fehérvár FC,2019/2020
36,Bence SzabóB. Szabó,21,Węgry,Ofensywny pomocnik,OPM,150 tys. €,Węgry,Diósgyőr,?,Sprzedaż,MOL Fehérvár FC,2019/2020
37,Tomas TujvelT. Tujvel,35,Węgry,Bramkarz,BRK,150 tys. €,Węgry,Honvéd,?,Sprzedaż,MOL Fehérvár FC,2019/2020
38,Bence TóthB. Tóth,21,Węgry,Środkowy obrońca,ŚOB,200 tys. €,Węgry,Vasas FC,?,Sprzedaż,MOL Fehérvár FC,2019/2020
39,Anel HadzicA. Hadzic,30,Bośnia i Hercegowina,Defensywny pomocnik,DPM,475 tys. €,-,Bez klubu,-,Sprzedaż,MOL Fehérvár FC,2019/2020
40,Zsombor BévárdiZ. Bévárdi,20,Węgry,Prawy napastnik,PNP,150 tys. €,Węgry,Fehérvár,Bez odstępnego,Kupno,Debreceni VSC,2019/2020
41,Yuriy GabovdaY. Gabovda,30,Ukraina,Prawy obrońca,POB,200 tys. €,Węgry,Haladás,Bez odstępnego,Kupno,Debreceni VSC,2019/2020
42,Nikola TrujicN. Trujic,27,Serbia,Lewy napastnik,LNP,350 tys. €,Serbia,Vozdovac,Bez odstępnego,Kupno,Debreceni VSC,2019/2020
43,Florentin BouoliF. Bouoli,21,Kamerun,Środkowy napastnik,ŚNP,-,Nieznana,Nieznany,Bez odstępnego,Kupno,Debreceni VSC,2019/2020
44,Tunde AdenijiT. Adeniji,23,Nigeria,Środkowy napastnik,ŚNP,450 tys. €,Kuwejt,Al-Nasr,Bez odstępnego,Kupno,Debreceni VSC,2019/2020
45,Luka MilunovicL. Milunovic,27,Serbia,Ofensywny pomocnik,OPM,400 tys. €,Malezja,Melaka Utd. SA,Bez odstępnego,Kupno,Debreceni VSC,2019/2020
46,Haruna GarbaH. Garba,25,Nigeria,Środkowy napastnik,ŚNP,250 tys. €,Malta,Gzira Utd,Bez odstępnego,Kupno,Debreceni VSC,2019/2020
47,Arthur GyörgyiA. Györgyi,22,Węgry,Lewy napastnik,LNP,-,Rumunia,Csikszereda,Bez odstępnego,Kupno,Debreceni VSC,2019/2020
48,Márk SzécsiM. Szécsi,25,Węgry,Środkowy napastnik,ŚNP,175 tys. €,Węgry,Puskás AFC,?,Kupno,Debreceni VSC,2019/2020
49,Norbert KundrákN. Kundrák,20,Węgry,Środkowy napastnik,ŚNP,150 tys. €,Węgry,Ferencváros,?,Kupno,Debreceni VSC,2019/2020
50,Bence SzabóB. Szabó,22,Węgry,Ofensywny pomocnik,OPM,200 tys. €,-,Bez klubu,-,Kupno,Debreceni VSC,2019/2020
51,Dániel ZsóriD. Zsóri,18,Węgry,Środkowy napastnik,ŚNP,250 tys. €,Węgry,Fehérvár,400 tys. €,Sprzedaż,Debreceni VSC,2019/2020
52,Arthur GyörgyiA. Györgyi,22,Węgry,Lewy napastnik,LNP,100 tys. €,Węgry,Nyíregyháza,Bez odstępnego,Sprzedaż,Debreceni VSC,2019/2020
53,Haris TabakovicH. Tabakovic,25,Szwajcaria,Środkowy napastnik,ŚNP,350 tys. €,Węgry,Diósgyőr,Bez odstępnego,Sprzedaż,Debreceni VSC,2019/2020
54,Danilo SekulicD. Sekulic,29,Serbia,Środkowy pomocnik,ŚPM,150 tys. €,Serbia,Mladost,Bez odstępnego,Sprzedaż,Debreceni VSC,2019/2020
55,Krisztián KutiK. Kuti,27,Węgry,Prawy obrońca,POB,100 tys. €,Węgry,Szeged,Bez odstępnego,Sprzedaż,Debreceni VSC,2019/2020
56,Aleksandar JovanovicA. Jovanovic,34,Serbia,Defensywny pomocnik,DPM,250 tys. €,Węgry,Szeged,Bez odstępnego,Sprzedaż,Debreceni VSC,2019/2020
57,Kevin NagyK. Nagy,23,Węgry,Prawy napastnik,PNP,150 tys. €,Węgry,Szolnok,Bez odstępnego,Sprzedaż,Debreceni VSC,2019/2020
58,Tamás TakácsT. Takács,28,Węgry,Środkowy napastnik,ŚNP,150 tys. €,Węgry,Mezőkövesd,?,Sprzedaż,Debreceni VSC,2019/2020
