,Piłkarz,Wiek,Narodowość,Pozycja,Poz,Wartość rynkowa,Klub pozyskujący/oddający państwo,Klub pozyskujący/oddający nazwa,Kwota odstępnego,Rodzaj transferu,Dotyczy klubu,Sezon
0,Lubomir SatkaL. Satka,23,Słowacja,Środkowy obrońca,ŚOB,650 tys. €,Słowacja,Dunajska Streda,750 tys. €,Kupno,Lech Poznań,2019/2020
1,Dani RamírezDani Ramírez,27,Hiszpania,Ofensywny pomocnik,OPM,800 tys. €,Polska,ŁKS Łódź,500 tys. €,Kupno,Lech Poznań,2019/2020
2,Djordje CrnomarkovicD. Crnomarkovic,25,Serbia,Środkowy obrońca,ŚOB,"1,25 mln €",Serbia,Radnicki Nis,500 tys. €,Kupno,Lech Poznań,2019/2020
3,Karlo MuharK. Muhar,23,Chorwacja,Defensywny pomocnik,DPM,350 tys. €,Chorwacja,Inter Zapresic,400 tys. €,Kupno,Lech Poznań,2019/2020
4,Tomasz DejewskiT. Dejewski,24,Polska,Środkowy obrońca,ŚOB,50 tys. €,Polska,Warta Poznań,Bez odstępnego,Kupno,Lech Poznań,2019/2020
5,Mickey van der HartM. van der Hart,25,Holandia,Bramkarz,BRK,850 tys. €,Holandia,PEC Zwolle,Bez odstępnego,Kupno,Lech Poznań,2019/2020
6,Darko JevticD. Jevtic,26,Szwajcaria,Ofensywny pomocnik,OPM,"1,25 mln €",Rosja,Rubin Kazań,500 tys. €,Sprzedaż,Lech Poznań,2019/2020
7,Dawid KurminowskiD. Kurminowski,20,Polska,Środkowy napastnik,ŚNP,200 tys. €,Słowacja,MSK Zilina,250 tys. €,Sprzedaż,Lech Poznań,2019/2020
8,Krzysztof KolodziejK. Kolodziej,26,Polska,Ofensywny pomocnik,OPM,50 tys. €,Polska,Elana Toruń,Bez odstępnego,Sprzedaż,Lech Poznań,2019/2020
9,Maciej MakuszewskiM. Makuszewski,30,Polska,Prawy napastnik,PNP,300 tys. €,Polska,Jagiellonia,Bez odstępnego,Sprzedaż,Lech Poznań,2019/2020
10,Matus PutnockyM. Putnocky,34,Słowacja,Bramkarz,BRK,200 tys. €,Polska,Śląsk Wrocław,Bez odstępnego,Sprzedaż,Lech Poznań,2019/2020
11,Piotr TomasikP. Tomasik,31,Polska,Lewy obrońca,LOB,300 tys. €,Polska,Wisła Płock,Bez odstępnego,Sprzedaż,Lech Poznań,2019/2020
12,Lukasz TralkaL. Tralka,35,Polska,Defensywny pomocnik,DPM,200 tys. €,Polska,Warta Poznań,Bez odstępnego,Sprzedaż,Lech Poznań,2019/2020
13,Jasmin BuricJ. Buric,32,Bośnia i Hercegowina,Bramkarz,BRK,300 tys. €,Izrael,Hapoel Haifa,Bez odstępnego,Sprzedaż,Lech Poznań,2019/2020
14,Maciej GajosM. Gajos,28,Polska,Środkowy pomocnik,ŚPM,500 tys. €,Polska,Lechia Gdańsk,Bez odstępnego,Sprzedaż,Lech Poznań,2019/2020
15,Mihai RadutM. Radut,29,Rumunia,Lewy napastnik,LNP,350 tys. €,Rumunia,Astra Giurgiu,Bez odstępnego,Sprzedaż,Lech Poznań,2019/2020
16,Marcin WasielewskiM. Wasielewski,24,Polska,Prawy obrońca,POB,350 tys. €,Polska,Termalica,Bez odstępnego,Sprzedaż,Lech Poznań,2019/2020
17,Maciej OrłowskiM. Orłowski,26,Polska,Prawy obrońca,POB,50 tys. €,Polska,Górnik Łęczna,20 tys. €,Sprzedaż,Lech Poznań,2019/2020
18,Nikola VujadinovicN. Vujadinovic,32,Czarnogóra,Środkowy obrońca,ŚOB,300 tys. €,-,Bez klubu,-,Sprzedaż,Lech Poznań,2019/2020
19,Bartosz SliszB. Slisz,20,Polska,Środkowy pomocnik,ŚPM,"1,50 mln €",Polska,Zagłębie Lubin,"1,84 mln €",Kupno,Legia Warszawa,2019/2020
20,CafúCafú,26,Portugalia,Środkowy pomocnik,ŚPM,"2,00 mln €",Francja,FC Metz,800 tys. €,Kupno,Legia Warszawa,2019/2020
21,LuquinhasLuquinhas,22,Brazylia,Ofensywny pomocnik,OPM,500 tys. €,Portugalia,Desportivo Aves,400 tys. €,Kupno,Legia Warszawa,2019/2020
22,Valeriane GviliaV. Gvilia,25,Gruzja,Ofensywny pomocnik,OPM,"1,00 mln €",Szwajcaria,FC Luzern,300 tys. €,Kupno,Legia Warszawa,2019/2020
23,Arvydas NovikovasA. Novikovas,28,Litwa,Lewy napastnik,LNP,"1,50 mln €",Polska,Jagiellonia,300 tys. €,Kupno,Legia Warszawa,2019/2020
24,Piotr PyrdolP. Pyrdol,20,Polska,Prawy napastnik,PNP,200 tys. €,Polska,ŁKS Łódź,70 tys. €,Kupno,Legia Warszawa,2019/2020
25,Mateusz CholewiakM. Cholewiak,29,Polska,Lewy napastnik,LNP,400 tys. €,Polska,Śląsk Wrocław,60 tys. €,Kupno,Legia Warszawa,2019/2020
26,Wojciech MuzykW. Muzyk,20,Polska,Bramkarz,BRK,-,Polska,Olimpia Grudz.,50 tys. €,Kupno,Legia Warszawa,2019/2020
