,Piłkarz,Wiek,Narodowość,Pozycja,Poz,Wartość rynkowa,Klub pozyskujący/oddający państwo,Klub pozyskujący/oddający nazwa,Kwota odstępnego,Rodzaj transferu,Dotyczy klubu,Sezon
0,Alexandru PascanuA. Pascanu,20,Rumunia,Środkowy obrońca,ŚOB,400 tys. €,Anglia,Leicester U23,600 tys. €,Kupno,CFR Cluj,2019/2020
1,Catalin GolofcaC. Golofca,29,Rumunia,Prawy napastnik,PNP,800 tys. €,Rumunia,FC Botosani,500 tys. €,Kupno,CFR Cluj,2019/2020
2,Yacouba SyllaY. Sylla,28,Mali,Defensywny pomocnik,DPM,700 tys. €,Norwegia,Strømsgodset,400 tys. €,Kupno,CFR Cluj,2019/2020
3,Andrei BurcaA. Burca,26,Rumunia,Środkowy obrońca,ŚOB,"1,00 mln €",Rumunia,FC Botosani,200 tys. €,Kupno,CFR Cluj,2019/2020
4,Denis CiobotariuD. Ciobotariu,21,Rumunia,Środkowy obrońca,ŚOB,650 tys. €,Rumunia,Dinamo Bukaresz,150 tys. €,Kupno,CFR Cluj,2019/2020
5,Razvan AndronicR. Andronic,20,Rumunia,Prawy pomocnik,PPM,200 tys. €,Rumunia,FC Botosani,60 tys. €,Kupno,CFR Cluj,2019/2020
6,Mihai ButeanM. Butean,22,Rumunia,Prawy obrońca,POB,"1,00 mln €",Rumunia,Astra Giurgiu,Bez odstępnego,Kupno,CFR Cluj,2019/2020
7,Michaël PereiraM. Pereira,31,Francja,Prawy napastnik,PNP,400 tys. €,Turcja,Y. Malatyaspor,Bez odstępnego,Kupno,CFR Cluj,2019/2020
8,Giannis KontoesG. Kontoes,33,Grecja,Prawy obrońca,POB,200 tys. €,Grecja,Apollon Smyrnis,Bez odstępnego,Kupno,CFR Cluj,2019/2020
9,Grzegorz SandomierskiG. Sandomierski,30,Polska,Bramkarz,BRK,200 tys. €,Polska,Jagiellonia,Bez odstępnego,Kupno,CFR Cluj,2019/2020
10,Luís AurélioL. Aurélio,30,Portugalia,Środkowy pomocnik,ŚPM,600 tys. €,Rumunia,Gaz Metan,Bez odstępnego,Kupno,CFR Cluj,2019/2020
11,Cosmin VatcaC. Vatca,37,Rumunia,Bramkarz,BRK,150 tys. €,Rumunia,FC Voluntari,Bez odstępnego,Kupno,CFR Cluj,2019/2020
12,Mike CestorM. Cestor,27,Demokratyczna Republika Kongo,Środkowy obrońca,ŚOB,850 tys. €,Rumunia,Astra Giurgiu,Bez odstępnego,Kupno,CFR Cluj,2019/2020
13,Alexandru ChipciuA. Chipciu,30,Rumunia,Prawy pomocnik,PPM,800 tys. €,Belgia,RSC Anderlecht,Bez odstępnego,Kupno,CFR Cluj,2019/2020
14,Mario RondónM. Rondón,33,Wenezuela,Środkowy napastnik,ŚNP,550 tys. €,Rumunia,Gaz Metan,Bez odstępnego,Kupno,CFR Cluj,2019/2020
15,Lacina TraoréL. Traoré,29,Wybrzeże Kości Słoniowej,Środkowy napastnik,ŚNP,"1,00 mln €",Węgry,Újpest FC,?,Kupno,CFR Cluj,2019/2020
16,Mateo SusicM. Susic,28,Bośnia i Hercegowina,Prawy obrońca,POB,650 tys. €,Mołdawia,Sheriff,?,Kupno,CFR Cluj,2019/2020
17,Bryan NouvierB. Nouvier,24,Francja,Lewy napastnik,LNP,500 tys. €,Polska,Raków,100 tys. €,Sprzedaż,CFR Cluj,2019/2020
18,Emmanuel CulioE. Culio,36,Argentyna,Środkowy pomocnik,ŚPM,-,Argentyna,Quilmes,Bez odstępnego,Sprzedaż,CFR Cluj,2019/2020
19,Sebastian MailatS. Mailat,22,Rumunia,Lewy napastnik,LNP,200 tys. €,Rumunia,U Cluj,Bez odstępnego,Sprzedaż,CFR Cluj,2019/2020
20,Adrian RusA. Rus,25,Rumunia,Bramkarz,BRK,100 tys. €,-,Bez klubu,Bez odstępnego,Sprzedaż,CFR Cluj,2019/2020
21,Ádám LangÁ. Lang,26,Węgry,Środkowy obrońca,ŚOB,600 tys. €,Cypr,Omonia Nikozja,Bez odstępnego,Sprzedaż,CFR Cluj,2019/2020
22,Mate MalesM. Males,30,Chorwacja,Środkowy pomocnik,ŚPM,500 tys. €,Norwegia,Sarpsborg 08,Bez odstępnego,Sprzedaż,CFR Cluj,2019/2020
23,Andrei PeteleuA. Peteleu,27,Rumunia,Prawy obrońca,POB,600 tys. €,Mołdawia,Sheriff,Bez odstępnego,Sprzedaż,CFR Cluj,2019/2020
24,Thierry MoutinhoT. Moutinho,28,Portugalia,Prawy napastnik,PNP,450 tys. €,Rumunia,FCSB,Bez odstępnego,Sprzedaż,CFR Cluj,2019/2020
25,Andrei MuresanA. Muresan,34,Rumunia,Środkowy obrońca,ŚOB,500 tys. €,Rumunia,U Cluj,Bez odstępnego,Sprzedaż,CFR Cluj,2019/2020
26,Cosmin VatcaC. Vatca,37,Rumunia,Bramkarz,BRK,150 tys. €,-,Bez klubu,Bez odstępnego,Sprzedaż,CFR Cluj,2019/2020
27,Robert TambeR. Tambe,26,Kamerun,Środkowy napastnik,ŚNP,400 tys. €,Chiny,SX Chang'an At.,Bez odstępnego,Sprzedaż,CFR Cluj,2019/2020
28,Cristian BudC. Bud,34,Rumunia,Środkowy napastnik,ŚNP,250 tys. €,Rumunia,AFC Turris,Bez odstępnego,Sprzedaż,CFR Cluj,2019/2020
29,Razvan HorjR. Horj,24,Rumunia,Środkowy obrońca,ŚOB,50 tys. €,Rumunia,U Cluj,-,Sprzedaż,CFR Cluj,2019/2020
30,Adrian PetreA. Petre,22,Rumunia,Środkowy napastnik,ŚNP,"1,30 mln €",Dania,Esbjerg fB,800 tys. €,Kupno,FCSB,2019/2020
31,Ionut VinaI. Vina,24,Rumunia,Środkowy pomocnik,ŚPM,"1,50 mln €",Rumunia,FC Viitorul,750 tys. €,Kupno,FCSB,2019/2020
32,Razvan OaidaR. Oaida,21,Rumunia,Środkowy pomocnik,ŚPM,600 tys. €,Rumunia,FC Botosani,700 tys. €,Kupno,FCSB,2019/2020
33,Darius OlaruD. Olaru,21,Rumunia,Ofensywny pomocnik,OPM,"1,10 mln €",Rumunia,Gaz Metan,600 tys. €,Kupno,FCSB,2019/2020
34,Ionut PantiruI. Pantiru,23,Rumunia,Lewy obrońca,LOB,400 tys. €,Rumunia,CSM Poli Iași,200 tys. €,Kupno,FCSB,2019/2020
35,Valentin CretuV. Cretu,30,Rumunia,Prawy obrońca,POB,550 tys. €,Rumunia,Gaz Metan,125 tys. €,Kupno,FCSB,2019/2020
36,Adrian SutA. Sut,20,Rumunia,Środkowy pomocnik,ŚPM,300 tys. €,Rumunia,Ac. Clinceni,Bez odstępnego,Kupno,FCSB,2019/2020
37,Juvhel TsoumouJ. Tsoumou,28,Kongo,Środkowy napastnik,ŚNP,550 tys. €,Rumunia,FC Hermannstadt,Bez odstępnego,Kupno,FCSB,2019/2020
38,Claudiu BeluC. Belu,25,Rumunia,Prawy obrońca,POB,"1,20 mln €",Rumunia,Astra Giurgiu,Bez odstępnego,Kupno,FCSB,2019/2020
39,Thierry MoutinhoT. Moutinho,28,Portugalia,Prawy napastnik,PNP,450 tys. €,Rumunia,CFR Cluj,Bez odstępnego,Kupno,FCSB,2019/2020
40,Lukasz GikiewiczL. Gikiewicz,31,Polska,Środkowy napastnik,ŚNP,200 tys. €,Arabia Saudyjska,Hajer,Bez odstępnego,Kupno,FCSB,2019/2020
41,George MironG. Miron,25,Rumunia,Środkowy obrońca,ŚOB,800 tys. €,Rumunia,FC Botosani,Bez odstępnego,Kupno,FCSB,2019/2020
42,Diogo SalomãoD. Salomão,30,Portugalia,Lewy napastnik,LNP,850 tys. €,Arabia Saudyjska,Al-Hazm,Bez odstępnego,Kupno,FCSB,2019/2020
43,Sorin SerbanS. Serban,19,Rumunia,Lewy obrońca,LOB,50 tys. €,Rumunia,M. Baia Mare,?,Kupno,FCSB,2019/2020
44,Romario BenzarR. Benzar,27,Rumunia,Prawy obrońca,POB,"2,50 mln €",Włochy,Lecce,"2,00 mln €",Sprzedaż,FCSB,2019/2020
45,Júnior MoraisJúnior Morais,32,Brazylia,Lewy obrońca,LOB,900 tys. €,Turcja,Gaziantep FK,600 tys. €,Sprzedaż,FCSB,2019/2020
46,Mihai BalasaM. Balasa,24,Rumunia,Środkowy obrońca,ŚOB,"1,30 mln €",Rumunia,CS U Craiova,100 tys. €,Sprzedaż,FCSB,2019/2020
47,Adrian StoianA. Stoian,28,Rumunia,Lewy napastnik,LNP,650 tys. €,Włochy,AS Livorno,Bez odstępnego,Sprzedaż,FCSB,2019/2020
48,Lukasz GikiewiczL. Gikiewicz,32,Polska,Środkowy napastnik,ŚNP,100 tys. €,Jordania,Al-Faisaly,Bez odstępnego,Sprzedaż,FCSB,2019/2020
49,Diogo SalomãoD. Salomão,31,Portugalia,Lewy napastnik,LNP,500 tys. €,Portugalia,Santa Clara,Bez odstępnego,Sprzedaż,FCSB,2019/2020
50,Raul RusescuR. Rusescu,30,Rumunia,Środkowy napastnik,ŚNP,500 tys. €,Turcja,Giresunspor,Bez odstępnego,Sprzedaż,FCSB,2019/2020
51,Mihai RomanM. Roman,34,Rumunia,Prawy napastnik,PNP,300 tys. €,Rumunia,FC Botosani,Bez odstępnego,Sprzedaż,FCSB,2019/2020
52,Thierry MoutinhoT. Moutinho,28,Portugalia,Prawy napastnik,PNP,400 tys. €,Hiszpania,Córdoba CF,Bez odstępnego,Sprzedaż,FCSB,2019/2020
53,Juvhel TsoumouJ. Tsoumou,29,Kongo,Środkowy napastnik,ŚNP,400 tys. €,Chiny,LN SY Urban,Bez odstępnego,Sprzedaż,FCSB,2019/2020
54,Daniel BenzarD. Benzar,21,Rumunia,Prawy napastnik,PNP,350 tys. €,Rumunia,FC Voluntari,Bez odstępnego,Sprzedaż,FCSB,2019/2020
55,Ioan HoraIoan Hora,31,Rumunia,Środkowy napastnik,ŚNP,550 tys. €,Rumunia,Gaz Metan,Bez odstępnego,Sprzedaż,FCSB,2019/2020
56,Florentin MateiF. Matei,26,Rumunia,Ofensywny pomocnik,OPM,700 tys. €,Rumunia,Astra Giurgiu,Bez odstępnego,Sprzedaż,FCSB,2019/2020
57,Harlem GnohéréH. Gnohéré,32,Francja,Środkowy napastnik,ŚNP,"1,30 mln €",-,Bez klubu,-,Sprzedaż,FCSB,2019/2020
58,Mihai PintiliiM. Pintilii,35,Rumunia,Defensywny pomocnik,DPM,200 tys. €,-,Koniec kariery,-,Sprzedaż,FCSB,2019/2020
59,Filipe TeixeiraF. Teixeira,38,Portugalia,Prawy napastnik,PNP,100 tys. €,-,Bez klubu,,Sprzedaż,FCSB,2019/2020
60,Aurelian ChituA. Chitu,28,Rumunia,Środkowy napastnik,ŚNP,700 tys. €,Korea Południowa,Daejeon Hana C.,Bez odstępnego,Kupno,FC Viitorul,2019/2020
61,Gabriel IancuG. Iancu,25,Rumunia,Cofnięty napastnik,CNP,400 tys. €,Rumunia,D. Calarasi,Bez odstępnego,Kupno,FC Viitorul,2019/2020
62,Najib AmmariN. Ammari,27,Algieria,Ofensywny pomocnik,OPM,400 tys. €,Rumunia,D. Calarasi,Bez odstępnego,Kupno,FC Viitorul,2019/2020
63,Damien DussautD. Dussaut,24,Francja,Prawy obrońca,POB,400 tys. €,Rumunia,Dinamo Bukaresz,Bez odstępnego,Kupno,FC Viitorul,2019/2020
64,Malcom EdjoumaM. Edjouma,23,Francja,Defensywny pomocnik,DPM,400 tys. €,Francja,FC Lorient,Bez odstępnego,Kupno,FC Viitorul,2019/2020
65,Steliano FilipS. Filip,25,Rumunia,Lewy obrońca,LOB,400 tys. €,Rumunia,D. Calarasi,Bez odstępnego,Kupno,FC Viitorul,2019/2020
66,RivaldinhoRivaldinho,24,Brazylia,Środkowy napastnik,ŚNP,800 tys. €,Bułgaria,Levski Sofia,Bez odstępnego,Kupno,FC Viitorul,2019/2020
67,Jacques ZouaJ. Zoua,28,Kamerun,Środkowy napastnik,ŚNP,400 tys. €,Rumunia,Astra Giurgiu,Bez odstępnego,Kupno,FC Viitorul,2019/2020
68,Cosmin BirnoiC. Birnoi,22,Rumunia,Lewy pomocnik,LPM,150 tys. €,Rumunia,CSM Poli Iași,Bez odstępnego,Kupno,FC Viitorul,2019/2020
69,Hamidou KeytaH. Keyta,24,Francja,Lewy napastnik,LNP,200 tys. €,Rumunia,D. Calarasi,Bez odstępnego,Kupno,FC Viitorul,2019/2020
70,Marco DulcaM. Dulca,20,Rumunia,Defensywny pomocnik,DPM,100 tys. €,Anglia,Swansea U23,Bez odstępnego,Kupno,FC Viitorul,2019/2020
