,Piłkarz,Wiek,Narodowość,Pozycja,Poz,Wartość rynkowa,Klub pozyskujący/oddający państwo,Klub pozyskujący/oddający nazwa,Kwota odstępnego,Rodzaj transferu,Dotyczy klubu,Sezon
0,MalcomMalcom,22,Brazylia,Prawy napastnik,PNP,"40,00 mln €",Hiszpania,FC Barcelona,"40,00 mln €",Kupno,Zenit Petersburg,2019/2020
1,Douglas SantosD. Santos,25,Brazylia,Lewy obrońca,LOB,"10,00 mln €",Niemcy,Hamburg,"12,00 mln €",Kupno,Zenit Petersburg,2019/2020
2,Vyacheslav KaravaevV. Karavaev,24,Rosja,Prawy obrońca,POB,"3,00 mln €",Holandia,Vitesse,"8,00 mln €",Kupno,Zenit Petersburg,2019/2020
3,Aleksey SutorminA. Sutormin,25,Rosja,Prawy napastnik,PNP,"3,50 mln €",Rosja,Rubin Kazań,"3,00 mln €",Kupno,Zenit Petersburg,2019/2020
4,Danil KrugovoyD. Krugovoy,21,Rosja,Lewy obrońca,LOB,700 tys. €,Rosja,Ufa,"2,00 mln €",Kupno,Zenit Petersburg,2019/2020
5,Aleksandr VasyutinA. Vasyutin,24,Rosja,Bramkarz,BRK,500 tys. €,Norwegia,Sarpsborg 08,700 tys. €,Kupno,Zenit Petersburg,2019/2020
6,Miha MevljaM. Mevlja,29,Słowenia,Środkowy obrońca,ŚOB,"3,50 mln €",Rosja,Sochi,"4,00 mln €",Sprzedaż,Zenit Petersburg,2019/2020
7,Elmir NabiullinE. Nabiullin,24,Rosja,Lewy obrońca,LOB,"3,00 mln €",Rosja,Sochi,"3,00 mln €",Sprzedaż,Zenit Petersburg,2019/2020
8,Dmitri PolozD. Poloz,27,Rosja,Środkowy napastnik,ŚNP,"4,00 mln €",Rosja,Sochi,"3,00 mln €",Sprzedaż,Zenit Petersburg,2019/2020
9,Luka DjordjevicL. Djordjevic,25,Czarnogóra,Środkowy napastnik,ŚNP,"4,00 mln €",Rosja,Loko Moskwa,"2,50 mln €",Sprzedaż,Zenit Petersburg,2019/2020
10,Ivan NovoseltsevI. Novoseltsev,27,Rosja,Środkowy obrońca,ŚOB,"1,00 mln €",Rosja,Sochi,"2,00 mln €",Sprzedaż,Zenit Petersburg,2019/2020
11,Ibragim TsallagovI. Tsallagov,28,Rosja,Defensywny pomocnik,DPM,"2,00 mln €",Rosja,Sochi,800 tys. €,Sprzedaż,Zenit Petersburg,2019/2020
12,Egor BaburinE. Baburin,25,Rosja,Bramkarz,BRK,750 tys. €,Rosja,Rostov,500 tys. €,Sprzedaż,Zenit Petersburg,2019/2020
13,Christian NoboaC. Noboa,34,Ekwador,Środkowy pomocnik,ŚPM,"1,50 mln €",Rosja,Sochi,500 tys. €,Sprzedaż,Zenit Petersburg,2019/2020
14,Andrey PanyukovA. Panyukov,24,Rosja,Środkowy napastnik,ŚNP,"2,00 mln €",Rosja,Ural,300 tys. €,Sprzedaż,Zenit Petersburg,2019/2020
