,Piłkarz,Wiek,Narodowość,Pozycja,Poz,Wartość rynkowa,Klub pozyskujący/oddający państwo,Klub pozyskujący/oddający nazwa,Kwota odstępnego,Rodzaj transferu,Dotyczy klubu,Sezon
0,Alen OzboltA. Ozbolt,23,Słowenia,Środkowy napastnik,ŚNP,200 tys. €,Bułgaria,Lok. Plovdiv,350 tys. €,Kupno,Slovan Bratislava,2019/2020
1,Lucas LovatL. Lovat,23,Brazylia,Lewy obrońca,LOB,300 tys. €,Słowacja,Spartak Trnava,300 tys. €,Kupno,Slovan Bratislava,2019/2020
2,Georgios TzovarasG. Tzovaras,19,Grecja,Środkowy napastnik,ŚNP,-,Grecja,PAOK Saloniki,100 tys. €,Kupno,Slovan Bratislava,2019/2020
3,Ezekiel HentyE. Henty,26,Nigeria,Środkowy napastnik,ŚNP,700 tys. €,Węgry,Puskás AFC,Bez odstępnego,Kupno,Slovan Bratislava,2019/2020
4,Myenty AbenaM. Abena,24,Holandia,Środkowy obrońca,ŚOB,450 tys. €,Słowacja,Spartak Trnava,Bez odstępnego,Kupno,Slovan Bratislava,2019/2020
5,Erik DanielE. Daniel,27,Czechy,Prawy pomocnik,PPM,550 tys. €,Słowacja,Ruzomberok,Bez odstępnego,Kupno,Slovan Bratislava,2019/2020
6,Vladimir WeissV. Weiss,30,Słowacja,Lewy napastnik,LNP,"2,50 mln €",Katar,Al Gharafa,Bez odstępnego,Kupno,Slovan Bratislava,2019/2020
7,Zan MedvedZ. Medved,20,Słowenia,Środkowy napastnik,ŚNP,300 tys. €,Słowenia,NK Olimpija,?,Kupno,Slovan Bratislava,2019/2020
8,Andraz SporarA. Sporar,25,Słowenia,Środkowy napastnik,ŚNP,"2,50 mln €",Portugalia,Sporting CP,"6,00 mln €",Sprzedaż,Slovan Bratislava,2019/2020
9,Richárd GuzmicsR. Guzmics,32,Węgry,Środkowy obrońca,ŚOB,200 tys. €,Węgry,Mezőkövesd,Bez odstępnego,Sprzedaż,Slovan Bratislava,2019/2020
10,Stefan StanglS. Stangl,27,Austria,Lewy obrońca,LOB,400 tys. €,-,Bez klubu,-,Sprzedaż,Slovan Bratislava,2019/2020
11,Eric RamirezE. Ramirez,20,Wenezuela,Środkowy napastnik,ŚNP,225 tys. €,Czechy,MFK Karvina,500 tys. €,Kupno,DAC Dunajska Streda,2019/2020
12,Krisztián NémethK. Németh,31,Węgry,Środkowy napastnik,ŚNP,"1,00 mln €",Stany Zjednaczone,Kansas,Bez odstępnego,Kupno,DAC Dunajska Streda,2019/2020
13,Dusan LalatovicD. Lalatovic,21,Serbia,Środkowy obrońca,ŚOB,200 tys. €,Serbia,Rad Zrenjanin,?,Kupno,DAC Dunajska Streda,2019/2020
14,Jakub SvecJ. Svec,18,Słowacja,Prawy napastnik,PNP,175 tys. €,Słowacja,Zlate Moravce,?,Kupno,DAC Dunajska Streda,2019/2020
15,Matej OravecM. Oravec,21,Słowacja,Defensywny pomocnik,DPM,400 tys. €,Słowacja,Podbrezova,?,Kupno,DAC Dunajska Streda,2019/2020
16,Andrej FabryA. Fabry,22,Słowacja,Ofensywny pomocnik,OPM,400 tys. €,Czechy,FK Jablonec,?,Kupno,DAC Dunajska Streda,2019/2020
17,Dominik KruzliakD. Kruzliak,22,Słowacja,Środkowy obrońca,ŚOB,600 tys. €,Słowacja,Ruzomberok,?,Kupno,DAC Dunajska Streda,2019/2020
